Index,Fibbo Lucas Sum,Execution Time (seconds),Execution Time (nanoseconds)
1,0.000000,0.000000208000,208
2,1.000000,0.000000084000,84
3,1.000000,0.000000042000,42
4,2.000000,0.000000125000,125
5,3.000000,0.000000125000,125
6,5.000000,0.000000167000,167
7,8.000000,0.000000167000,167
8,13.000000,0.000000208000,208
9,21.000000,0.000000250000,250
10,34.000000,0.000000208000,208
11,55.000000,0.000000333000,333
12,89.000000,0.000000333000,333
13,144.000000,0.000000375000,375
14,233.000000,0.000000417000,417
15,377.000000,0.000000417000,417
16,610.000000,0.000000459000,459
17,987.000000,0.000000458000,458
18,1597.000000,0.000000542000,542
19,2584.000000,0.000000541000,541
20,4181.000000,0.000000542000,542
21,6765.000000,0.000000542000,542
22,10946.000000,0.000000625000,625
23,17711.000000,0.000000667000,667
24,28657.000000,0.000000959000,959
25,46368.000000,0.000000833000,833
26,75025.000000,0.000000917000,917
27,121393.000000,0.000000875000,875
28,196418.000000,0.000001000000,1000
29,317811.000000,0.000001042000,1042
30,514229.000000,0.000001125000,1125
31,832040.000000,0.000001125000,1125
32,1346269.000000,0.000001209000,1209
33,2178309.000000,0.000001292000,1292
34,3524578.000000,0.000001375000,1375
35,5702887.000000,0.000001459000,1459
36,9227465.000000,0.000001583000,1583
37,14930352.000000,0.000001625000,1625
38,24157817.000000,0.000001916000,1916
39,39088169.000000,0.000001917000,1917
40,63245986.000000,0.000001959000,1959
41,102334155.000000,0.000002042000,2042
42,165580141.000000,0.000002125000,2125
43,267914296.000000,0.000002208000,2208
44,433494437.000000,0.000002250000,2250
45,701408733.000000,0.000002458000,2458
46,1134903170.000000,0.000002500000,2500
47,1836311903.000000,0.000002708000,2708
48,2971215073.000000,0.000002708000,2708
49,4807526976.000000,0.000002875000,2875
50,7778742049.000000,0.000003042000,3042
51,12586269025.000000,0.000003292000,3292
52,20365011074.000000,0.000003292000,3292
53,32951280099.000000,0.000003500000,3500
54,53316291173.000000,0.000003542000,3542
55,86267571272.000000,0.000003750000,3750
56,139583862445.000000,0.000003833000,3833
57,225851433717.000000,0.000004000000,4000
58,365435296162.000000,0.000004166000,4166
59,591286729879.000000,0.000004292000,4292
60,956722026041.000000,0.000004458000,4458
61,1548008755920.000000,0.000004625000,4625
62,2504730781961.000000,0.000004750000,4750
63,4052739537881.000000,0.000004959000,4959
64,6557470319842.000000,0.000005084000,5084
65,10610209857723.000000,0.000005333000,5333
66,17167680177565.000000,0.000005416000,5416
67,27777890035288.000000,0.000005625000,5625
68,44945570212853.000000,0.000005875000,5875
69,72723460248141.000000,0.000006000000,6000
70,117669030460994.000000,0.000006208000,6208
71,190392490709135.000000,0.000006416000,6416
72,308061521170129.000000,0.000006792000,6792
73,498454011879264.000000,0.000006917000,6917
74,806515533049393.000000,0.000007042000,7042
75,1304969544928657.000000,0.000007250000,7250
76,2111485077978050.000000,0.000007500000,7500
77,3416454622906707.000000,0.000007708000,7708
78,5527939700884757.000000,0.000007875000,7875
79,8944394323791464.000000,0.000008125000,8125
80,14472334024676220.000000,0.000008292000,8292
81,23416728348467688.000000,0.000008625000,8625
82,37889062373143904.000000,0.000008875000,8875
83,61305790721611584.000000,0.000008000000,8000
84,99194853094755504.000000,0.000007667000,7667
85,160500643816367072.000000,0.000007750000,7750
86,259695496911122560.000000,0.000007791000,7791
87,420196140727489600.000000,0.000007958000,7958
88,679891637638612096.000000,0.000008209000,8209
89,1100087778366102016.000000,0.000008541000,8541
90,1779979416004714240.000000,0.000008666000,8666
91,664092938336732672.000000,0.000008833000,8833
92,1221563852782268672.000000,0.000009500000,9500
93,2035326805249711616.000000,0.000009667000,9667
94,1638709900891334144.000000,0.000009500000,9500
95,503647021571101696.000000,0.000009750000,9750
96,518064181202567168.000000,0.000010125000,10125
97,1671008661138158592.000000,0.000010250000,10250
98,-1299647264904017664.000000,0.000010542000,10542
99,525391462446101952.000000,0.000010625000,10625
100,236293288506640096.000000,0.000011375000,11375
101,2018143838305576448.000000,0.000011542000,11542
102,-528222978745174080.000000,0.000011250000,11250
103,758995212890009856.000000,0.000011708000,11708
104,-1124046331534666112.000000,0.000011875000,11875
105,1402911685793070592.000000,0.000012125000,12125
106,2082149426599404032.000000,0.000012292000,12292
107,-638954807920764928.000000,0.000012875000,12875
108,1653184179782414080.000000,0.000013042000,13042
109,-1450806900674952448.000000,0.000013375000,13375
110,1227307454134206464.000000,0.000013708000,13708
111,-276834162354762656.000000,0.000014083000,14083
112,-146236382940176672.000000,0.000014334000,14334
113,-289045350887296064.000000,0.000014458000,14458
114,-754993262446857856.000000,0.000014833000,14833
115,-632993344176954624.000000,0.000015084000,15084
116,1178986006913931008.000000,0.000015875000,15875
117,504469347165952448.000000,0.000012333000,12333
118,2393546606948281856.000000,0.000012625000,12625
119,-444145523492589632.000000,0.000012958000,12958
120,1254952674861221120.000000,0.000013208000,13208
121,972723423702020480.000000,0.000013292000,13292
122,2476892673222627328.000000,0.000013833000,13833
123,-1080303620790867200.000000,0.000014000000,14000
124,370831459180640320.000000,0.000014167000,14167
125,-813614373779286272.000000,0.000014416000,14416
126,471484134837864512.000000,0.000014834000,14834
127,2012251788677723136.000000,0.000015083000,15083
128,1901563007299245824.000000,0.000015458000,15458
129,-1356230044902921728.000000,0.000015584000,15584
130,949192815214983936.000000,0.000015958000,15958
131,-201596475097488576.000000,0.000016292000,16292
132,901062335166933888.000000,0.000016458000,16458
133,972181934706770048.000000,0.000016750000,16750
134,-1851569261890436096.000000,0.000022417000,22417
135,1944096144941531136.000000,0.000017417000,17417
