Index,Fibbo Lucas Sum,Execution Time (seconds),Execution Time (nanoseconds)
1,0.000000,0.000000208000,208
2,1.000000,0.000000041000,41
3,1.000000,0.000000041000,41
4,2.000000,0.000000250000,250
5,3.000000,0.000000084000,84
6,5.000000,0.000000208000,208
7,8.000000,0.000000125000,125
8,13.000000,0.000000167000,167
9,21.000000,0.000000250000,250
10,34.000000,0.000000250000,250
11,55.000000,0.000000334000,334
12,89.000000,0.000000334000,334
13,144.000000,0.000000375000,375
14,233.000000,0.000000459000,459
15,377.000000,0.000000417000,417
16,610.000000,0.000000500000,500
17,987.000000,0.000000500000,500
18,1597.000000,0.000000542000,542
19,2584.000000,0.000000541000,541
20,4181.000000,0.000000583000,583
21,6765.000000,0.000000666000,666
22,10946.000000,0.000000667000,667
23,17711.000000,0.000000667000,667
24,28657.000000,0.000000750000,750
25,46368.000000,0.000000750000,750
26,75025.000000,0.000000833000,833
27,121393.000000,0.000000916000,916
28,196418.000000,0.000000875000,875
29,317811.000000,0.000001041000,1041
30,514229.000000,0.000001125000,1125
31,832040.000000,0.000001125000,1125
32,1346269.000000,0.000001208000,1208
33,2178309.000000,0.000001292000,1292
34,3524578.000000,0.000001333000,1333
35,5702887.000000,0.000001500000,1500
36,9227465.000000,0.000001625000,1625
37,14930352.000000,0.000001625000,1625
38,24157817.000000,0.000001708000,1708
39,39088169.000000,0.000001750000,1750
40,63245986.000000,0.000001875000,1875
41,102334155.000000,0.000001958000,1958
42,165580141.000000,0.000002084000,2084
43,267914296.000000,0.000002208000,2208
44,433494437.000000,0.000002292000,2292
45,701408733.000000,0.000002417000,2417
46,1134903170.000000,0.000002542000,2542
47,1836311903.000000,0.000002583000,2583
48,2971215073.000000,0.000002750000,2750
49,4807526976.000000,0.000002875000,2875
50,7778742049.000000,0.000003000000,3000
51,12586269025.000000,0.000003125000,3125
52,20365011074.000000,0.000003250000,3250
53,32951280099.000000,0.000004916000,4916
54,53316291173.000000,0.000003542000,3542
55,86267571272.000000,0.000003666000,3666
56,139583862445.000000,0.000003875000,3875
57,225851433717.000000,0.000003958000,3958
58,365435296162.000000,0.000004125000,4125
59,591286729879.000000,0.000004333000,4333
60,956722026041.000000,0.000004459000,4459
61,1548008755920.000000,0.000004584000,4584
62,2504730781961.000000,0.000004708000,4708
63,4052739537881.000000,0.000004917000,4917
64,6557470319842.000000,0.000005125000,5125
65,10610209857723.000000,0.000005375000,5375
66,17167680177565.000000,0.000005458000,5458
67,27777890035288.000000,0.000005667000,5667
68,44945570212853.000000,0.000005834000,5834
69,72723460248141.000000,0.000006042000,6042
70,117669030460994.000000,0.000006209000,6209
71,190392490709135.000000,0.000006500000,6500
72,308061521170129.000000,0.000006625000,6625
73,498454011879264.000000,0.000006875000,6875
74,806515533049393.000000,0.000007000000,7000
75,1304969544928657.000000,0.000007250000,7250
76,2111485077978050.000000,0.000007583000,7583
77,3416454622906707.000000,0.000007709000,7709
78,5527939700884757.000000,0.000007875000,7875
79,8944394323791464.000000,0.000009500000,9500
80,14472334024676220.000000,0.000009833000,9833
81,23416728348467688.000000,0.000008625000,8625
82,37889062373143904.000000,0.000008834000,8834
83,61305790721611584.000000,0.000009083000,9083
84,99194853094755504.000000,0.000009417000,9417
85,160500643816367072.000000,0.000009583000,9583
86,259695496911122560.000000,0.000009833000,9833
87,420196140727489600.000000,0.000010167000,10167
88,679891637638612096.000000,0.000010542000,10542
89,1100087778366102016.000000,0.000014084000,14084
90,1779979416004714240.000000,0.000011041000,11041
91,664092938336732672.000000,0.000036791000,36791
92,1221563852782268672.000000,0.000011708000,11708
93,2035326805249711616.000000,0.000036125000,36125
94,1638709900891334144.000000,0.000012209000,12209
95,503647021571101696.000000,0.000012416000,12416
96,518064181202567168.000000,0.000012666000,12666
97,1671008661138158592.000000,0.000012958000,12958
98,-1299647264904017664.000000,0.000013750000,13750
99,525391462446101952.000000,0.000013625000,13625
100,236293288506640096.000000,0.000013916000,13916
101,2018143838305576448.000000,0.000014209000,14209
102,-528222978745174080.000000,0.000018166000,18166
103,758995212890009856.000000,0.000014750000,14750
104,-1124046331534666112.000000,0.000015209000,15209
105,1402911685793070592.000000,0.000015459000,15459
106,2082149426599404032.000000,0.000015791000,15791
107,-638954807920764928.000000,0.000016083000,16083
108,1653184179782414080.000000,0.000016417000,16417
109,-1450806900674952448.000000,0.000016834000,16834
110,1227307454134206464.000000,0.000017042000,17042
111,-276834162354762656.000000,0.000017542000,17542
112,-146236382940176672.000000,0.000017791000,17791
113,-289045350887296064.000000,0.000018167000,18167
114,-754993262446857856.000000,0.000018500000,18500
115,-632993344176954624.000000,0.000018875000,18875
116,1178986006913931008.000000,0.000019167000,19167
117,504469347165952448.000000,0.000019625000,19625
118,2393546606948281856.000000,0.000019959000,19959
119,-444145523492589632.000000,0.000020334000,20334
120,1254952674861221120.000000,0.000020750000,20750
121,972723423702020480.000000,0.000024417000,24417
122,2476892673222627328.000000,0.000021375000,21375
123,-1080303620790867200.000000,0.000021875000,21875
124,370831459180640320.000000,0.000022167000,22167
125,-813614373779286272.000000,0.000022667000,22667
126,471484134837864512.000000,0.000023000000,23000
127,2012251788677723136.000000,0.000023416000,23416
128,1901563007299245824.000000,0.000028583000,28583
129,-1356230044902921728.000000,0.000024167000,24167
130,949192815214983936.000000,0.000024625000,24625
131,-201596475097488576.000000,0.000025084000,25084
132,901062335166933888.000000,0.000025417000,25417
133,972181934706770048.000000,0.000025833000,25833
134,-1851569261890436096.000000,0.000026208000,26208
135,1944096144941531136.000000,0.000026750000,26750
