Index,Fibbo Lucas Sum,Execution Time (seconds),Execution Time (nanoseconds)
1,0.000000,0.000000542000,542
2,1.000000,0.000000125000,125
3,1.000000,0.000000083000,83
4,2.000000,0.000000208000,208
5,3.000000,0.000000292000,292
6,5.000000,0.000000334000,334
7,8.000000,0.000000250000,250
8,13.000000,0.000000334000,334
9,21.000000,0.000000375000,375
10,34.000000,0.000000458000,458
11,55.000000,0.000000500000,500
12,89.000000,0.000000584000,584
13,144.000000,0.000000666000,666
14,233.000000,0.000000708000,708
15,377.000000,0.000000750000,750
16,610.000000,0.000000791000,791
17,987.000000,0.000000834000,834
18,1597.000000,0.000000959000,959
19,2584.000000,0.000001000000,1000
20,4181.000000,0.000001084000,1084
21,6765.000000,0.000001375000,1375
22,10946.000000,0.000001125000,1125
23,17711.000000,0.000001250000,1250
24,28657.000000,0.000001334000,1334
25,46368.000000,0.000001583000,1583
26,75025.000000,0.000001458000,1458
27,121393.000000,0.000001542000,1542
28,196418.000000,0.000001833000,1833
29,317811.000000,0.000001750000,1750
30,514229.000000,0.000001875000,1875
31,832040.000000,0.000002083000,2083
32,1346269.000000,0.000002125000,2125
33,2178309.000000,0.000002291000,2291
34,3524578.000000,0.000002500000,2500
35,5702887.000000,0.000002834000,2834
36,9227465.000000,0.000002708000,2708
37,14930352.000000,0.000002875000,2875
38,24157817.000000,0.000003000000,3000
39,39088169.000000,0.000003167000,3167
40,63245986.000000,0.000003375000,3375
41,102334155.000000,0.000003541000,3541
42,165580141.000000,0.000003834000,3834
43,267914296.000000,0.000003958000,3958
44,433494437.000000,0.000004083000,4083
45,701408733.000000,0.000004167000,4167
46,1134903170.000000,0.000004416000,4416
47,1836311903.000000,0.000004584000,4584
48,2971215073.000000,0.000004750000,4750
49,4807526976.000000,0.000005125000,5125
50,7778742049.000000,0.000005250000,5250
51,12586269025.000000,0.000005500000,5500
52,20365011074.000000,0.000005708000,5708
53,32951280099.000000,0.000006292000,6292
54,53316291173.000000,0.000007375000,7375
55,86267571272.000000,0.000006500000,6500
56,139583862445.000000,0.000006750000,6750
57,225851433717.000000,0.000006959000,6959
58,365435296162.000000,0.000007167000,7167
59,591286729879.000000,0.000007541000,7541
60,956722026041.000000,0.000007792000,7792
61,1548008755920.000000,0.000008042000,8042
62,2504730781961.000000,0.000008458000,8458
63,4052739537881.000000,0.000008541000,8541
64,6557470319842.000000,0.000009000000,9000
65,10610209857723.000000,0.000009333000,9333
66,17167680177565.000000,0.000009625000,9625
67,27777890035288.000000,0.000009875000,9875
68,44945570212853.000000,0.000010166000,10166
69,72723460248141.000000,0.000010500000,10500
70,117669030460994.000000,0.000010833000,10833
71,190392490709135.000000,0.000011416000,11416
72,308061521170129.000000,0.000011542000,11542
73,498454011879264.000000,0.000012041000,12041
74,806515533049393.000000,0.000012292000,12292
75,1304969544928657.000000,0.000012708000,12708
76,2111485077978050.000000,0.000013166000,13166
77,3416454622906707.000000,0.000013583000,13583
78,5527939700884757.000000,0.000013833000,13833
79,8944394323791464.000000,0.000014375000,14375
80,14472334024676220.000000,0.000014625000,14625
81,23416728348467688.000000,0.000015250000,15250
82,37889062373143904.000000,0.000015583000,15583
83,61305790721611584.000000,0.000016000000,16000
84,99194853094755504.000000,0.000016458000,16458
85,160500643816367072.000000,0.000017000000,17000
86,259695496911122560.000000,0.000017334000,17334
87,420196140727489600.000000,0.000017791000,17791
88,679891637638612096.000000,0.000018375000,18375
89,1100087778366102016.000000,0.000018750000,18750
90,1779979416004714240.000000,0.000019208000,19208
91,664092938336732672.000000,0.000019583000,19583
92,1221563852782268672.000000,0.000020375000,20375
93,2035326805249711616.000000,0.000024208000,24208
94,1638709900891334144.000000,0.000024750000,24750
95,503647021571101696.000000,0.000025250000,25250
96,518064181202567168.000000,0.000026042000,26042
97,1671008661138158592.000000,0.000022667000,22667
98,-1299647264904017664.000000,0.000023208000,23208
99,525391462446101952.000000,0.000023958000,23958
100,236293288506640096.000000,0.000024334000,24334
101,2018143838305576448.000000,0.000024958000,24958
102,-528222978745174080.000000,0.000025334000,25334
103,758995212890009856.000000,0.000026084000,26084
104,-1124046331534666112.000000,0.000023083000,23083
105,1402911685793070592.000000,0.000023584000,23584
106,2082149426599404032.000000,0.000020167000,20167
107,-638954807920764928.000000,0.000020625000,20625
108,1653184179782414080.000000,0.000020958000,20958
109,-1450806900674952448.000000,0.000021458000,21458
110,1227307454134206464.000000,0.000021875000,21875
111,-276834162354762656.000000,0.000022250000,22250
112,-146236382940176672.000000,0.000022750000,22750
