Index,Fibonacci Number,Execution Time (seconds),Execution Time (nanoseconds)
1,1,0.000000834000,834
2,1,0.000000084000,84
3,2,0.000000708000,708
4,3,0.000000167000,167
5,5,0.000000209000,209
6,8,0.000000292000,292
7,13,0.000000250000,250
8,21,0.000000292000,292
9,34,0.000000333000,333
10,55,0.000000291000,291
11,89,0.000000292000,292
12,144,0.000000333000,333
13,233,0.000000292000,292
14,377,0.000000333000,333
15,610,0.000000334000,334
16,987,0.000000333000,333
17,1597,0.000000334000,334
18,2584,0.000000334000,334
19,4181,0.000000292000,292
20,6765,0.000000333000,333
21,10946,0.000000334000,334
22,17711,0.000000375000,375
23,28657,0.000000334000,334
24,46368,0.000000375000,375
25,75025,0.000000292000,292
26,121393,0.000000334000,334
27,196418,0.000000333000,333
28,317811,0.000000375000,375
29,514229,0.000000333000,333
30,832040,0.000000375000,375
31,1346269,0.000000333000,333
32,2178309,0.000000375000,375
33,3524578,0.000000375000,375
34,5702887,0.000000417000,417
35,9227465,0.000000375000,375
36,14930352,0.000000375000,375
37,24157817,0.000000292000,292
38,39088169,0.000000292000,292
39,63245986,0.000000292000,292
40,102334155,0.000000333000,333
41,165580141,0.000000375000,375
42,267914296,0.000000291000,291
43,433494437,0.000000291000,291
44,701408733,0.000000375000,375
45,1134903170,0.000000291000,291
46,1836311903,0.000000333000,333
47,2971215073,0.000000375000,375
48,4807526976,0.000000333000,333
49,7778742049,0.000000292000,292
50,12586269025,0.000000375000,375
51,20365011074,0.000000334000,334
52,32951280099,0.000000375000,375
53,53316291173,0.000000334000,334
54,86267571272,0.000000333000,333
55,139583862445,0.000000334000,334
56,225851433717,0.000000375000,375
57,365435296162,0.000000333000,333
58,591286729879,0.000000375000,375
59,956722026041,0.000000334000,334
60,1548008755920,0.000000417000,417
61,2504730781961,0.000000333000,333
62,4052739537881,0.000000375000,375
63,6557470319842,0.000000375000,375
64,10610209857723,0.000000416000,416
65,17167680177565,0.000000333000,333
66,27777890035288,0.000000375000,375
67,44945570212853,0.000000375000,375
68,72723460248141,0.000000375000,375
69,117669030460994,0.000000334000,334
70,190392490709135,0.000000333000,333
71,308061521170129,0.000000333000,333
72,498454011879264,0.000000375000,375
73,806515533049393,0.000000333000,333
74,1304969544928657,0.000000375000,375
75,2111485077978050,0.000000375000,375
76,3416454622906707,0.000000334000,334
77,5527939700884757,0.000000500000,500
78,8944394323791464,0.000000375000,375
79,14472334024676221,0.000000375000,375
80,23416728348467685,0.000000416000,416
81,37889062373143906,0.000000333000,333
82,61305790721611591,0.000000333000,333
83,99194853094755497,0.000000333000,333
84,160500643816367088,0.000000375000,375
85,259695496911122585,0.000000334000,334
86,420196140727489673,0.000000334000,334
87,679891637638612258,0.000000333000,333
88,1100087778366101931,0.000000375000,375
89,1779979416004714189,0.000000333000,333
90,2880067194370816120,0.000000375000,375
91,4660046610375530309,0.000000375000,375
92,7540113804746346429,0.000000417000,417
93,-6246583658587674878,0.000000334000,334
94,1293530146158671551,0.000000375000,375
95,-4953053512429003327,0.000000375000,375
96,-3659523366270331776,0.000000417000,417
97,-8612576878699335103,0.000000375000,375
98,6174643828739884737,0.000000375000,375
99,-2437933049959450366,0.000000333000,333
100,3736710778780434371,0.000000417000,417
101,1298777728820984005,0.000000334000,334
102,5035488507601418376,0.000000375000,375
103,6334266236422402381,0.000000375000,375
104,-7076989329685730859,0.000000334000,334
105,-742723093263328478,0.000000333000,333
106,-7819712422949059337,0.000000375000,375
107,-8562435516212387815,0.000000375000,375
